sample_id,seed,lambda,task_family,target,oracle_expert,selected_expert,entropy,is_correct,route_matches_oracle,mlp_prob,graph_prob,attention_v1_prob,attention_v2_prob
78,11,0.0,relational,1,graph,graph,0.5451,1,1,0.0180,0.8591,0.0558,0.0672
79,11,0.0,contextual,1,attention_v2,attention_v2,0.0854,1,1,0.0019,0.0128,0.0003,0.9849
80,11,0.0,contextual,1,attention_v2,attention_v2,0.0478,1,1,0.0014,0.0057,0.0002,0.9927
81,11,0.0,contextual,0,attention_v2,attention_v2,0.0676,1,1,0.0016,0.0093,0.0003,0.9888
82,11,0.0,relational,0,graph,graph,0.1843,1,1,0.0127,0.9654,0.0045,0.0174
83,11,0.0,relational,1,graph,graph,0.4108,0,1,0.0339,0.9001,0.0068,0.0592
84,11,0.0,feature,1,mlp,attention_v2,0.0318,1,0,0.0008,0.0018,0.0016,0.9958
85,11,0.0,relational,0,graph,graph,0.1505,0,1,0.0144,0.9723,0.0015,0.0118
86,11,0.0,feature,0,mlp,attention_v2,0.1220,1,0,0.0119,0.0103,0.0000,0.9778
87,11,0.0,feature,0,mlp,attention_v2,0.1149,1,0,0.0112,0.0095,0.0000,0.9794
88,11,0.0,relational,1,graph,graph,0.1306,1,1,0.0122,0.9768,0.0014,0.0096
89,11,0.0,feature,1,mlp,mlp,0.7704,1,1,0.5434,0.4398,0.0129,0.0039
90,11,0.0,relational,1,graph,graph,0.2605,1,1,0.0120,0.9477,0.0156,0.0247
91,11,0.0,relational,0,graph,graph,0.2605,0,1,0.0210,0.9456,0.0043,0.0291
92,11,0.0,relational,1,graph,graph,0.4297,1,1,0.0152,0.8989,0.0412,0.0447
93,11,0.0,feature,0,mlp,attention_v2,0.1139,1,0,0.0112,0.0092,0.0000,0.9796
94,11,0.0,relational,1,graph,graph,0.4157,0,1,0.0460,0.8958,0.0024,0.0557
95,11,0.0,relational,1,graph,graph,0.2527,1,1,0.0182,0.9481,0.0054,0.0283
96,11,0.0,contextual,0,attention_v2,attention_v2,0.0582,1,1,0.0018,0.0074,0.0001,0.9907
97,11,0.0,feature,1,mlp,attention_v2,0.0338,1,0,0.0009,0.0019,0.0017,0.9955
98,11,0.0,relational,0,graph,graph,0.1701,0,1,0.0082,0.9693,0.0089,0.0136
99,11,0.0,contextual,1,attention_v2,attention_v2,0.1329,1,1,0.0038,0.0186,0.0022,0.9754
100,11,0.0,feature,1,mlp,attention_v2,0.0349,1,0,0.0009,0.0020,0.0018,0.9953
101,11,0.0,relational,0,graph,graph,0.1748,1,1,0.0092,0.9682,0.0082,0.0144
102,11,0.0,feature,1,mlp,mlp,0.7695,1,1,0.5503,0.4328,0.0126,0.0043
103,11,0.0,feature,0,mlp,attention,0.1348,1,0,0.0087,0.0156,0.9752,0.0006
104,11,0.0,relational,1,graph,graph,0.5322,0,1,0.0301,0.8628,0.0268,0.0802
105,11,0.0,feature,0,mlp,attention,0.1361,1,0,0.0086,0.0160,0.9748,0.0005
106,11,0.0,feature,1,mlp,mlp,0.7646,1,1,0.5546,0.4296,0.0115,0.0042
107,11,0.0,contextual,1,attention_v2,attention_v2,0.0186,1,1,0.0007,0.0017,0.0000,0.9976
108,11,0.0,contextual,0,attention_v2,attention_v2,0.0146,1,1,0.0006,0.0012,0.0000,0.9982
109,11,0.0,feature,1,mlp,mlp,0.7670,1,1,0.5569,0.4265,0.0122,0.0044
110,11,0.0,relational,0,graph,graph,0.1315,1,1,0.0143,0.9761,0.0007,0.0089
111,11,0.0,feature,1,mlp,mlp,0.7674,1,1,0.5601,0.4230,0.0126,0.0043
112,11,0.0,feature,0,mlp,attention_v2,0.1127,1,0,0.0109,0.0092,0.0000,0.9798
113,11,0.0,contextual,1,attention_v2,attention_v2,0.1390,1,1,0.0044,0.0217,0.0008,0.9732
114,11,0.0,contextual,1,attention_v2,attention_v2,0.0743,1,1,0.0019,0.0108,0.0001,0.9872
115,11,0.0,contextual,0,attention_v2,attention_v2,0.1255,1,1,0.0027,0.0197,0.0014,0.9763
116,11,0.0,feature,1,mlp,mlp,0.7742,1,1,0.5249,0.4581,0.0133,0.0037
117,11,0.0,contextual,0,attention_v2,attention_v2,0.1710,1,1,0.0045,0.0295,0.0012,0.9648
118,11,0.0,relational,0,graph,graph,0.1363,1,1,0.0093,0.9763,0.0038,0.0106
119,11,0.0,contextual,1,attention_v2,attention_v2,0.3089,1,1,0.0094,0.0665,0.0016,0.9225
120,11,0.0,contextual,1,attention_v2,attention_v2,0.3124,1,1,0.0144,0.0620,0.0007,0.9229
121,11,0.0,feature,1,mlp,mlp,0.7720,1,1,0.5235,0.4601,0.0128,0.0036
122,11,0.0,relational,0,graph,graph,0.0956,1,1,0.0067,0.9845,0.0023,0.0065
123,11,0.0,contextual,1,attention_v2,attention_v2,0.0920,1,1,0.0027,0.0131,0.0004,0.9838
124,11,0.0,contextual,0,attention_v2,attention_v2,0.1978,1,1,0.0058,0.0361,0.0009,0.9572
125,11,0.0,feature,1,mlp,mlp,0.7706,1,1,0.5336,0.4500,0.0127,0.0037
126,11,0.0,relational,1,graph,graph,0.2079,1,1,0.0214,0.9584,0.0019,0.0183
127,11,0.0,relational,1,graph,graph,0.1512,0,1,0.0093,0.9732,0.0050,0.0125
128,11,0.0,feature,0,mlp,attention_v2,0.1121,1,0,0.0108,0.0092,0.0000,0.9800
129,11,0.0,feature,0,mlp,attention_v2,0.1104,1,0,0.0106,0.0090,0.0000,0.9803
130,11,0.0,feature,1,mlp,mlp,0.7669,1,1,0.5569,0.4264,0.0129,0.0038
131,11,0.0,contextual,0,attention_v2,attention_v2,0.1701,1,1,0.0054,0.0294,0.0005,0.9647
132,11,0.0,feature,1,mlp,mlp,0.7748,1,1,0.5507,0.4306,0.0151,0.0036
133,11,0.0,contextual,0,attention_v2,attention_v2,0.0090,0,1,0.0003,0.0006,0.0001,0.9990
134,11,0.0,feature,0,mlp,attention_v2,0.1257,1,0,0.0124,0.0106,0.0000,0.9769
135,11,0.0,feature,0,mlp,attention_v2,0.1121,1,0,0.0108,0.0092,0.0000,0.9800
136,11,0.0,relational,1,graph,graph,0.2447,0,1,0.0112,0.9514,0.0131,0.0243
137,11,0.0,contextual,0,attention_v2,attention_v2,0.0512,1,1,0.0016,0.0061,0.0002,0.9921
138,11,0.0,contextual,1,attention_v2,attention_v2,0.0489,1,1,0.0019,0.0052,0.0003,0.9926
139,11,0.0,relational,1,graph,graph,0.4975,1,1,0.0821,0.8621,0.0006,0.0552
140,11,0.0,relational,1,graph,graph,0.1893,1,1,0.0176,0.9631,0.0017,0.0176
141,11,0.0,contextual,0,attention_v2,attention_v2,0.0374,1,1,0.0009,0.0043,0.0003,0.9945
142,11,0.0,relational,0,graph,graph,0.1138,0,1,0.0048,0.9812,0.0074,0.0066
143,11,0.0,feature,0,mlp,attention_v2,0.1105,1,0,0.0107,0.0089,0.0000,0.9803
144,11,0.0,contextual,1,attention_v2,attention_v2,0.2107,1,1,0.0067,0.0385,0.0009,0.9538
145,11,0.0,contextual,1,attention_v2,attention_v2,0.3779,1,1,0.0067,0.0927,0.0048,0.8958
146,11,0.0,contextual,0,attention_v2,attention_v2,0.2404,1,1,0.0060,0.0446,0.0032,0.9462
147,11,0.0,contextual,1,attention_v2,attention_v2,0.1811,1,1,0.0041,0.0345,0.0005,0.9609
148,11,0.0,contextual,0,attention_v2,attention_v2,0.0405,1,1,0.0012,0.0048,0.0001,0.9939
149,11,0.0,contextual,1,attention_v2,attention_v2,0.0630,1,1,0.0018,0.0084,0.0001,0.9897
150,11,0.0,relational,1,graph,graph,0.1677,1,1,0.0122,0.9693,0.0042,0.0143
151,11,0.0,feature,0,mlp,attention,0.1418,1,0,0.0092,0.0167,0.9736,0.0006
152,11,0.0,relational,0,graph,graph,0.2189,1,1,0.0080,0.9578,0.0171,0.0171
153,11,0.0,contextual,1,attention_v2,attention_v2,0.0937,1,1,0.0023,0.0136,0.0006,0.9834
154,11,0.0,feature,0,mlp,attention_v2,0.1061,1,0,0.0102,0.0085,0.0000,0.9813
155,11,0.0,relational,1,graph,graph,0.0888,1,1,0.0098,0.9851,0.0006,0.0044
156,11,0.0,relational,0,graph,graph,0.1291,1,1,0.0103,0.9775,0.0022,0.0100
157,11,0.0,relational,0,graph,graph,0.4263,1,1,0.0387,0.8935,0.0049,0.0629
158,11,0.0,contextual,1,attention_v2,attention_v2,0.0432,1,1,0.0013,0.0051,0.0002,0.9935
159,11,0.0,contextual,0,attention_v2,attention_v2,0.0565,1,1,0.0012,0.0071,0.0006,0.9911
160,11,0.0,relational,0,graph,graph,0.1261,1,1,0.0092,0.9784,0.0032,0.0092
161,11,0.0,contextual,0,attention_v2,attention_v2,0.0244,1,1,0.0009,0.0024,0.0000,0.9967
162,11,0.0,feature,1,mlp,attention_v2,0.0370,1,0,0.0010,0.0022,0.0019,0.9950
163,11,0.0,feature,0,mlp,attention,0.1446,1,0,0.0091,0.0174,0.9729,0.0006
164,11,0.0,feature,1,mlp,mlp,0.7695,1,1,0.5482,0.4350,0.0128,0.0040
165,11,0.0,feature,1,mlp,attention_v2,0.0334,1,0,0.0009,0.0019,0.0017,0.9955
166,11,0.0,feature,0,mlp,attention_v2,0.1012,1,0,0.0096,0.0080,0.0000,0.9823
167,11,0.0,relational,0,graph,graph,0.0619,1,1,0.0041,0.9908,0.0023,0.0027
168,11,0.0,feature,0,mlp,attention_v2,0.1057,1,0,0.0103,0.0084,0.0000,0.9814
169,11,0.0,feature,1,mlp,attention_v2,0.0374,1,0,0.0009,0.0021,0.0021,0.9949
170,11,0.0,relational,1,graph,graph,0.5859,1,1,0.0137,0.8399,0.0858,0.0605
171,11,0.0,feature,0,mlp,attention_v2,0.1241,1,0,0.0120,0.0106,0.0000,0.9773
172,11,0.0,feature,0,mlp,attention,0.1374,1,0,0.0087,0.0162,0.9745,0.0006
173,11,0.0,contextual,0,attention_v2,attention_v2,0.0287,1,1,0.0010,0.0025,0.0004,0.9961
174,11,0.0,contextual,1,attention_v2,attention_v2,0.0448,1,1,0.0017,0.0046,0.0003,0.9934
175,11,0.0,relational,0,graph,graph,0.7207,1,1,0.0392,0.7772,0.0331,0.1504
176,11,0.0,feature,1,mlp,attention_v2,0.0334,1,0,0.0009,0.0019,0.0017,0.9955
177,11,0.0,contextual,0,attention_v2,attention_v2,0.1643,1,1,0.0066,0.0258,0.0006,0.9670
178,11,0.0,relational,0,graph,graph,0.1952,1,1,0.0149,0.9625,0.0038,0.0188
179,11,0.0,relational,0,graph,graph,0.1867,1,1,0.0161,0.9643,0.0027,0.0170
180,11,0.0,relational,0,graph,graph,0.1446,1,1,0.0091,0.9746,0.0045,0.0119
181,11,0.0,contextual,0,attention_v2,attention_v2,0.3167,1,1,0.0123,0.0659,0.0010,0.9207
182,11,0.0,feature,1,mlp,attention_v2,0.0339,1,0,0.0009,0.0018,0.0019,0.9954
183,11,0.0,feature,0,mlp,attention_v2,0.1067,1,0,0.0101,0.0088,0.0000,0.9812
184,11,0.0,feature,0,mlp,attention_v2,0.1055,1,0,0.0102,0.0084,0.0000,0.9814
185,11,0.0,feature,1,mlp,attention_v2,0.0330,1,0,0.0008,0.0018,0.0018,0.9956
186,11,0.0,feature,0,mlp,attention_v2,0.1122,1,0,0.0109,0.0091,0.0000,0.9799
187,11,0.0,relational,0,graph,graph,0.2832,1,1,0.0222,0.9396,0.0053,0.0330
188,11,0.0,feature,1,mlp,attention_v2,0.0331,1,0,0.0008,0.0018,0.0018,0.9956
189,11,0.0,feature,1,mlp,attention_v2,0.0346,1,0,0.0009,0.0020,0.0018,0.9953
190,11,0.0,feature,0,mlp,attention_v2,0.1107,1,0,0.0106,0.0091,0.0000,0.9803
191,11,0.0,feature,1,mlp,attention_v2,0.0353,1,0,0.0009,0.0021,0.0019,0.9952
192,11,0.0,contextual,0,attention_v2,attention_v2,0.0449,1,1,0.0024,0.0040,0.0002,0.9934
193,11,0.0,contextual,0,attention_v2,attention_v2,0.0519,1,1,0.0014,0.0068,0.0001,0.9917
194,11,0.0,feature,0,mlp,attention,0.1407,1,0,0.0089,0.0167,0.9738,0.0006
195,11,0.0,feature,0,mlp,attention,0.1343,1,0,0.0084,0.0158,0.9752,0.0006
196,11,0.0,feature,1,mlp,mlp,0.7693,1,1,0.5549,0.4279,0.0132,0.0040
197,11,0.0,contextual,0,attention_v2,attention_v2,0.0609,1,1,0.0014,0.0079,0.0005,0.9902
198,11,0.0,relational,0,graph,graph,0.1137,0,1,0.0098,0.9805,0.0015,0.0081
199,11,0.0,feature,1,mlp,mlp,0.7682,1,1,0.5441,0.4397,0.0121,0.0040
200,11,0.0,feature,0,mlp,attention,0.1319,1,0,0.0084,0.0152,0.9758,0.0006
201,11,0.0,contextual,0,attention_v2,attention_v2,0.1094,1,1,0.0024,0.0167,0.0009,0.9799
202,11,0.0,contextual,1,attention_v2,attention_v2,0.0213,1,1,0.0008,0.0019,0.0001,0.9972
203,11,0.0,relational,1,graph,graph,0.1499,1,1,0.0056,0.9736,0.0111,0.0096
204,11,0.0,contextual,0,attention_v2,attention_v2,0.2918,1,1,0.0107,0.0585,0.0014,0.9294
205,11,0.0,contextual,1,attention_v2,attention_v2,0.0480,1,1,0.0016,0.0057,0.0001,0.9926
206,11,0.0,relational,0,graph,graph,0.3903,0,1,0.0103,0.9097,0.0446,0.0354
207,11,0.0,contextual,0,attention_v2,attention_v2,0.0964,1,1,0.0023,0.0144,0.0006,0.9827
208,11,0.0,contextual,0,attention_v2,attention_v2,0.0196,1,1,0.0005,0.0019,0.0001,0.9974
209,11,0.0,relational,1,graph,graph,0.1588,1,1,0.0112,0.9713,0.0041,0.0134
210,11,0.0,relational,1,graph,graph,0.4108,1,1,0.0116,0.9032,0.0512,0.0340
211,11,0.0,contextual,1,attention_v2,attention_v2,0.0504,1,1,0.0015,0.0063,0.0001,0.9921
212,11,0.0,contextual,1,attention_v2,attention_v2,0.1089,1,1,0.0023,0.0127,0.0038,0.9812
213,11,0.0,contextual,0,attention_v2,attention_v2,0.0696,1,1,0.0025,0.0089,0.0001,0.9885
214,11,0.0,relational,0,graph,graph,0.3692,1,1,0.0237,0.9162,0.0131,0.0469
215,11,0.0,feature,0,mlp,attention_v2,0.1112,1,0,0.0107,0.0091,0.0000,0.9802
216,11,0.0,contextual,1,attention_v2,attention_v2,0.1567,1,1,0.0051,0.0261,0.0005,0.9683
217,11,0.0,feature,0,mlp,attention,0.1446,1,0,0.0092,0.0172,0.9729,0.0007
218,11,0.0,feature,0,mlp,attention,0.1429,1,0,0.0089,0.0172,0.9733,0.0006
219,11,0.0,feature,1,mlp,attention_v2,0.0335,1,0,0.0008,0.0019,0.0018,0.9955
220,11,0.0,feature,0,mlp,attention_v2,0.1066,1,0,0.0102,0.0086,0.0000,0.9812
221,11,0.0,feature,0,mlp,attention_v2,0.1203,1,0,0.0119,0.0099,0.0000,0.9782
222,11,0.0,contextual,0,attention_v2,attention_v2,0.0689,1,1,0.0018,0.0095,0.0002,0.9885
223,11,0.0,relational,0,graph,graph,0.2939,1,1,0.0179,0.9380,0.0105,0.0337
224,11,0.0,relational,0,graph,graph,0.3690,0,1,0.0121,0.9172,0.0344,0.0363
225,11,0.0,feature,0,mlp,attention,0.1368,1,0,0.0089,0.0158,0.9747,0.0006
226,11,0.0,relational,1,graph,graph,0.3848,1,1,0.0119,0.9122,0.0402,0.0357
227,11,0.0,contextual,1,attention_v2,attention_v2,0.1792,1,1,0.0047,0.0323,0.0008,0.9621
228,11,0.0,contextual,1,attention_v2,attention_v2,0.4161,1,1,0.0168,0.0978,0.0017,0.8837
229,11,0.0,feature,0,mlp,attention,0.1398,1,0,0.0090,0.0164,0.9740,0.0006
230,11,0.0,relational,1,graph,graph,0.1049,1,1,0.0087,0.9824,0.0017,0.0072
231,11,0.0,relational,0,graph,graph,0.1261,0,1,0.0096,0.9781,0.0022,0.0100
232,11,0.0,relational,0,graph,graph,0.1018,1,1,0.0091,0.9829,0.0012,0.0068
233,11,0.0,relational,0,graph,graph,0.2573,1,1,0.0160,0.9471,0.0069,0.0300
234,11,0.0,feature,0,mlp,attention_v2,0.1150,1,0,0.0111,0.0095,0.0000,0.9793
235,11,0.0,relational,1,graph,graph,0.4289,1,1,0.0136,0.8985,0.0477,0.0401
236,11,0.0,feature,1,mlp,attention_v2,0.0370,1,0,0.0009,0.0021,0.0020,0.9950
237,11,0.0,contextual,1,attention_v2,attention_v2,0.0807,1,1,0.0016,0.0118,0.0005,0.9860
238,11,0.0,feature,1,mlp,attention_v2,0.0319,1,0,0.0008,0.0018,0.0017,0.9958
239,11,0.0,relational,1,graph,graph,0.2967,0,1,0.0227,0.9356,0.0053,0.0364
240,11,0.0,feature,0,mlp,attention_v2,0.1152,1,0,0.0111,0.0096,0.0000,0.9793
241,11,0.0,feature,1,mlp,mlp,0.7649,1,1,0.5519,0.4323,0.0118,0.0039
242,11,0.0,feature,1,mlp,mlp,0.7696,1,1,0.5530,0.4297,0.0135,0.0038
243,11,0.0,contextual,0,attention_v2,attention_v2,0.0577,1,1,0.0019,0.0070,0.0002,0.9908
244,11,0.0,feature,1,mlp,mlp,0.7697,1,1,0.5441,0.4392,0.0127,0.0040
245,11,0.0,contextual,1,attention_v2,attention_v2,0.0353,1,1,0.0012,0.0038,0.0001,0.9949
246,11,0.0,feature,0,mlp,attention,0.1332,1,0,0.0086,0.0153,0.9756,0.0006
247,11,0.0,contextual,0,attention_v2,attention_v2,0.1771,1,1,0.0043,0.0322,0.0009,0.9626
248,11,0.0,relational,0,graph,graph,0.3455,1,1,0.0205,0.9243,0.0160,0.0392
249,11,0.0,feature,0,mlp,attention_v2,0.1061,1,0,0.0103,0.0085,0.0000,0.9813
250,11,0.0,contextual,0,attention_v2,attention_v2,0.2014,1,1,0.0051,0.0371,0.0015,0.9563
251,11,0.0,contextual,1,attention_v2,graph,1.0680,0,0,0.0410,0.4718,0.0894,0.3978
252,11,0.0,relational,1,graph,graph,0.2187,0,1,0.0228,0.9554,0.0015,0.0204
253,11,0.0,contextual,1,attention_v2,attention_v2,0.2060,1,1,0.0055,0.0342,0.0035,0.9568
254,11,0.0,relational,0,graph,graph,0.1260,0,1,0.0082,0.9785,0.0039,0.0094
255,11,0.0,feature,0,mlp,attention,0.1377,1,0,0.0088,0.0161,0.9745,0.0005
256,11,0.0,feature,1,mlp,mlp,0.7726,1,1,0.5452,0.4375,0.0127,0.0046
257,11,0.0,contextual,0,attention_v2,attention_v2,0.0657,1,1,0.0022,0.0086,0.0001,0.9892
258,11,0.0,relational,0,graph,graph,0.1482,0,1,0.0160,0.9724,0.0008,0.0108
259,11,0.0,feature,1,mlp,mlp,0.7665,1,1,0.5561,0.4274,0.0125,0.0040
260,11,0.0,relational,1,graph,graph,0.2377,1,1,0.0277,0.9498,0.0010,0.0215
261,11,0.0,feature,1,mlp,mlp,0.7704,1,1,0.5460,0.4370,0.0129,0.0040
262,11,0.0,feature,0,mlp,attention_v2,0.1089,1,0,0.0105,0.0088,0.0000,0.9807
263,11,0.0,relational,1,graph,graph,0.1622,1,1,0.0119,0.9702,0.0030,0.0149
264,11,0.0,relational,0,graph,graph,0.2085,1,1,0.0161,0.9596,0.0049,0.0193
265,11,0.0,contextual,1,attention_v2,attention_v2,0.0669,1,1,0.0020,0.0088,0.0002,0.9890
266,11,0.0,feature,1,mlp,attention_v2,0.0329,1,0,0.0008,0.0019,0.0017,0.9956
267,11,0.0,feature,1,mlp,attention_v2,0.0327,1,0,0.0008,0.0018,0.0017,0.9956
268,11,0.0,feature,0,mlp,attention,0.1313,1,0,0.0085,0.0150,0.9760,0.0005
