sample_id,seed,task_family,target,oracle_expert,random_expert,learned_expert,learned_entropy,mlp_pred,graph_pred,attention_v1_pred,attention_v2_pred,learned_pred,oracle_pred,is_correct,route_matches_oracle
24,11,feature,0,mlp,graph,attention,1.0054,0,1,0,1,0,0,1,0
25,11,feature,1,mlp,graph,attention_v2,0.4780,1,1,0,1,1,1,1,0
26,11,contextual,1,attention_v2,graph,attention_v2,0.8302,1,0,1,1,1,1,1,1
27,11,relational,1,graph,graph,graph,1.2168,1,1,1,0,1,1,1,1
28,11,contextual,1,attention_v2,graph,attention_v2,0.9848,1,0,0,1,1,1,1,1
29,11,contextual,1,attention_v2,graph,attention_v2,0.6535,1,0,0,0,0,0,0,1
30,11,feature,1,mlp,attention_v2,mlp,0.7357,1,1,1,0,1,1,1,1
31,11,contextual,1,attention_v2,mlp,attention_v2,0.6229,1,0,1,1,1,1,1,1
32,11,contextual,0,attention_v2,graph,attention_v2,0.4100,1,0,1,0,0,0,1,1
33,11,relational,1,graph,attention,graph,1.1732,1,1,1,0,1,1,1,1
34,11,contextual,1,attention_v2,mlp,attention_v2,1.0278,1,0,1,1,1,1,1,1
35,11,feature,0,mlp,attention,attention_v2,0.7748,0,1,1,0,0,0,1,0
36,11,relational,0,graph,mlp,graph,0.6181,1,1,1,1,1,1,0,1
37,11,relational,0,graph,attention,graph,1.0860,1,0,1,1,0,0,1,1
38,11,contextual,1,attention_v2,attention_v2,attention_v2,1.1083,1,0,0,1,1,1,1,1
39,11,contextual,1,attention_v2,attention_v2,attention_v2,0.7981,1,0,0,1,1,1,1,1
40,11,feature,1,mlp,attention,attention_v2,0.4726,1,1,0,1,1,1,1,0
41,11,relational,0,graph,attention_v2,graph,1.1298,1,0,0,0,0,0,1,1
42,11,relational,1,graph,attention_v2,graph,0.9930,1,1,0,1,1,1,1,1
43,11,contextual,0,attention_v2,graph,attention_v2,0.6267,1,0,1,0,0,0,1,1
44,11,relational,0,graph,attention_v2,graph,1.0163,1,0,0,0,0,0,1,1
45,11,relational,1,graph,mlp,graph,0.9543,1,1,1,1,1,1,1,1
46,11,relational,0,graph,attention,graph,0.9008,1,1,0,1,1,1,0,1
47,11,feature,1,mlp,attention,mlp,0.7459,1,1,1,0,1,1,1,1
48,11,contextual,0,attention_v2,attention_v2,attention_v2,0.7811,1,0,1,0,0,0,1,1
49,11,feature,1,mlp,attention,attention_v2,0.4732,1,1,0,1,1,1,1,0
50,11,feature,0,mlp,attention_v2,attention_v2,0.7863,0,1,1,0,0,0,1,0
51,11,relational,0,graph,attention,graph,0.9698,1,0,1,0,0,0,1,1
52,11,contextual,1,attention_v2,mlp,attention_v2,0.8186,1,0,0,1,1,1,1,1
53,11,contextual,1,attention_v2,mlp,attention_v2,0.8896,1,0,1,1,1,1,1,1
54,11,feature,0,mlp,attention_v2,attention,1.0049,0,1,0,1,0,0,1,0
55,11,contextual,0,attention_v2,attention,attention_v2,0.6044,1,0,1,0,0,0,1,1
56,11,feature,1,mlp,graph,mlp,0.7344,1,1,1,0,1,1,1,1
57,11,relational,1,graph,mlp,graph,1.1016,1,1,0,0,1,1,1,1
58,11,relational,1,graph,attention,graph,1.0813,1,1,1,0,1,1,1,1
59,11,contextual,1,attention_v2,attention,attention_v2,0.9794,1,0,1,1,1,1,1,1
60,11,contextual,1,attention_v2,attention_v2,attention_v2,0.6085,1,0,1,1,1,1,1,1
61,11,feature,0,mlp,mlp,attention_v2,0.7754,0,1,1,0,0,0,1,0
62,11,relational,0,graph,attention,graph,0.7562,1,1,1,0,1,1,0,1
63,11,relational,1,graph,attention,graph,1.1958,1,0,1,1,0,0,0,1
64,11,contextual,1,attention_v2,mlp,attention_v2,0.7015,1,0,0,1,1,1,1,1
65,11,feature,1,mlp,graph,attention_v2,0.4687,1,1,0,1,1,1,1,0
66,11,relational,0,graph,mlp,graph,1.1183,1,0,1,1,0,0,1,1
67,11,contextual,1,attention_v2,attention,attention_v2,0.4797,1,0,1,1,1,1,1,1
68,11,contextual,1,attention_v2,mlp,attention_v2,1.0320,1,0,1,1,1,1,1,1
69,11,contextual,0,attention_v2,mlp,attention_v2,0.6439,1,0,1,0,0,0,1,1
70,11,feature,0,mlp,mlp,attention_v2,0.7788,0,1,1,0,0,0,1,0
71,11,feature,0,mlp,mlp,attention,1.0069,0,1,0,1,0,0,1,0
72,11,feature,1,mlp,attention_v2,attention_v2,0.4775,1,1,0,1,1,1,1,0
73,11,contextual,0,attention_v2,mlp,attention_v2,0.7241,1,0,0,0,0,0,1,1
74,11,relational,1,graph,attention_v2,graph,1.1057,1,1,0,1,1,1,1,1
75,11,feature,1,mlp,attention,mlp,0.7347,1,1,1,0,1,1,1,1
76,11,feature,0,mlp,graph,attention_v2,0.7577,0,1,1,0,0,0,1,0
77,11,feature,1,mlp,mlp,mlp,0.7471,1,1,1,0,1,1,1,1
78,11,relational,1,graph,attention_v2,graph,1.2331,1,1,0,1,1,1,1,1
79,11,contextual,1,attention_v2,attention_v2,attention_v2,0.7250,1,0,1,1,1,1,1,1
80,11,contextual,1,attention_v2,attention,attention_v2,0.5727,1,0,1,1,1,1,1,1
81,11,contextual,0,attention_v2,mlp,attention_v2,0.7009,1,0,1,0,0,0,1,1
82,11,relational,0,graph,mlp,graph,1.0110,1,0,1,0,0,0,1,1
83,11,relational,1,graph,attention,graph,1.2350,1,0,1,0,0,0,0,1
84,11,feature,1,mlp,attention,attention_v2,0.4607,1,1,1,1,1,1,1,0
85,11,relational,0,graph,attention_v2,graph,0.9678,1,1,1,1,1,1,0,1
86,11,feature,0,mlp,graph,attention_v2,0.7904,0,1,1,0,0,0,1,0
87,11,feature,0,mlp,attention,attention_v2,0.7791,0,1,1,0,0,0,1,0
88,11,relational,1,graph,graph,graph,0.9139,1,1,1,0,1,1,1,1
89,11,feature,1,mlp,graph,mlp,0.7356,1,1,1,0,1,1,1,1
90,11,relational,1,graph,attention_v2,graph,1.0700,1,1,0,1,1,1,1,1
91,11,relational,0,graph,attention,graph,1.1239,1,1,1,1,1,1,0,1
92,11,relational,1,graph,attention_v2,graph,1.1685,1,1,0,1,1,1,1,1
93,11,feature,0,mlp,attention_v2,attention_v2,0.7740,0,1,1,0,0,0,1,0
94,11,relational,1,graph,attention,graph,1.2102,1,0,1,1,0,0,0,1
95,11,relational,1,graph,graph,graph,1.1111,1,1,1,1,1,1,1,1
96,11,contextual,0,attention_v2,attention,attention_v2,0.6954,1,0,1,0,0,0,1,1
97,11,feature,1,mlp,mlp,attention_v2,0.4739,1,1,0,1,1,1,1,0
98,11,relational,0,graph,graph,graph,0.9225,1,1,0,1,1,1,0,1
99,11,contextual,1,attention_v2,attention,attention_v2,0.8797,1,0,0,1,1,1,1,1
100,11,feature,1,mlp,mlp,attention_v2,0.4773,1,1,0,1,1,1,1,0
101,11,relational,0,graph,mlp,graph,0.9610,1,0,0,1,0,0,1,1
102,11,feature,1,mlp,mlp,mlp,0.7284,1,1,1,0,1,1,1,1
103,11,feature,0,mlp,mlp,attention,1.0067,0,1,0,1,0,0,1,0
104,11,relational,1,graph,graph,graph,1.2792,1,0,0,1,0,0,0,1
105,11,feature,0,mlp,attention,attention,1.0034,0,1,0,1,0,0,1,0
106,11,feature,1,mlp,attention_v2,mlp,0.7206,1,1,1,0,1,1,1,1
107,11,contextual,1,attention_v2,mlp,attention_v2,0.4222,0,0,1,1,1,1,1,1
108,11,contextual,0,attention_v2,attention,attention_v2,0.4016,1,0,1,0,0,0,1,1
109,11,feature,1,mlp,attention,mlp,0.7307,1,1,1,0,1,1,1,1
110,11,relational,0,graph,graph,graph,0.9097,1,0,1,1,0,0,1,1
111,11,feature,1,mlp,attention_v2,mlp,0.7341,1,1,1,0,1,1,1,1
112,11,feature,0,mlp,graph,attention_v2,0.7776,0,1,1,0,0,0,1,0
113,11,contextual,1,attention_v2,attention_v2,attention_v2,0.8790,1,0,0,1,1,1,1,1
114,11,contextual,1,attention_v2,attention,attention_v2,0.6412,1,0,1,1,1,1,1,1
115,11,contextual,0,attention_v2,attention_v2,attention_v2,0.8241,0,0,0,0,0,0,1,1
116,11,feature,1,mlp,attention,mlp,0.7488,1,1,1,0,1,1,1,1
117,11,contextual,0,attention_v2,mlp,attention_v2,0.9872,1,0,1,0,0,0,1,1
118,11,relational,0,graph,attention_v2,graph,0.8989,1,0,1,1,0,0,1,1
119,11,contextual,1,attention_v2,attention,attention_v2,1.0455,1,0,0,1,1,1,1,1
120,11,contextual,1,attention_v2,mlp,attention_v2,1.0986,1,1,1,1,1,1,1,1
121,11,feature,1,mlp,attention_v2,mlp,0.7482,1,1,1,0,1,1,1,1
122,11,relational,0,graph,mlp,graph,0.7815,1,0,1,1,0,0,1,1
123,11,contextual,1,attention_v2,attention_v2,attention_v2,0.8374,1,0,1,1,1,1,1,1
124,11,contextual,0,attention_v2,graph,attention_v2,0.9353,1,0,0,0,0,0,1,1
125,11,feature,1,mlp,attention_v2,mlp,0.7395,1,1,1,0,1,1,1,1
126,11,relational,1,graph,attention_v2,graph,1.0656,1,1,1,0,1,1,1,1
127,11,relational,1,graph,attention,graph,0.9294,1,0,0,0,0,0,0,1
128,11,feature,0,mlp,graph,attention_v2,0.7733,0,1,1,0,0,0,1,0
129,11,feature,0,mlp,mlp,attention_v2,0.7648,0,1,1,0,0,0,1,0
130,11,feature,1,mlp,attention_v2,mlp,0.7206,1,1,1,0,1,1,1,1
131,11,contextual,0,attention_v2,mlp,attention_v2,0.9213,1,1,1,0,0,0,1,1
132,11,feature,1,mlp,mlp,mlp,0.7401,1,1,1,0,1,1,1,1
133,11,contextual,0,attention_v2,attention,attention_v2,0.3527,1,0,1,1,1,1,0,1
134,11,feature,0,mlp,graph,attention_v2,0.7948,0,1,1,0,0,0,1,0
135,11,feature,0,mlp,mlp,attention_v2,0.7776,0,1,1,0,0,0,1,0
136,11,relational,1,graph,graph,graph,1.0419,1,0,0,0,0,0,0,1
137,11,contextual,0,attention_v2,graph,attention_v2,0.6846,1,0,1,0,0,0,1,1
138,11,contextual,1,attention_v2,attention_v2,attention_v2,0.7328,1,0,1,1,1,1,1,1
139,11,relational,1,graph,attention,mlp,1.1029,1,1,1,1,1,1,1,0
140,11,relational,1,graph,attention,graph,1.0404,1,1,1,0,1,1,1,1
141,11,contextual,0,attention_v2,attention_v2,attention_v2,0.5915,1,0,0,0,0,0,1,1
142,11,relational,0,graph,attention,graph,0.7515,1,1,0,1,1,1,0,1
143,11,feature,0,mlp,graph,attention_v2,0.7713,0,1,1,0,0,0,1,0
144,11,contextual,1,attention_v2,mlp,attention_v2,1.0490,1,0,1,1,1,1,1,1
145,11,contextual,1,attention_v2,attention,attention_v2,1.0436,1,0,0,1,1,1,1,1
146,11,contextual,0,attention_v2,attention,attention_v2,1.0178,1,1,0,0,0,0,1,1
147,11,contextual,1,attention_v2,graph,attention_v2,0.9170,1,0,1,1,1,1,1,1
148,11,contextual,0,attention_v2,attention_v2,attention_v2,0.6069,1,0,1,0,0,0,1,1
149,11,contextual,1,attention_v2,attention_v2,attention_v2,0.7271,1,0,1,1,1,1,1,1
150,11,relational,1,graph,attention_v2,graph,0.9925,1,1,1,1,1,1,1,1
151,11,feature,0,mlp,graph,attention,1.0174,0,1,0,1,0,0,1,0
152,11,relational,0,graph,graph,graph,0.9518,1,0,0,1,0,0,1,1
153,11,contextual,1,attention_v2,graph,attention_v2,0.8179,1,0,0,1,1,1,1,1
154,11,feature,0,mlp,mlp,attention_v2,0.7605,0,1,1,0,0,0,1,0
155,11,relational,1,graph,attention,graph,0.7785,1,1,1,1,1,1,1,1
156,11,relational,0,graph,graph,graph,0.8928,1,0,1,1,0,0,1,1
157,11,relational,0,graph,attention,graph,1.2273,1,0,1,0,0,0,1,1
158,11,contextual,1,attention_v2,attention_v2,attention_v2,0.6039,1,0,1,1,1,1,1,1
159,11,contextual,0,attention_v2,graph,attention_v2,0.6824,1,0,1,0,0,0,1,1
160,11,relational,0,graph,attention,graph,0.8933,1,0,1,1,0,0,1,1
161,11,contextual,0,attention_v2,graph,attention_v2,0.4574,1,0,1,0,0,0,1,1
162,11,feature,1,mlp,graph,attention_v2,0.4856,1,1,0,1,1,1,1,0
163,11,feature,0,mlp,attention_v2,attention,1.0117,0,1,0,1,0,0,1,0
164,11,feature,1,mlp,graph,mlp,0.7321,1,1,1,0,1,1,1,1
165,11,feature,1,mlp,attention_v2,attention_v2,0.4683,1,1,0,1,1,1,1,0
166,11,feature,0,mlp,attention,attention_v2,0.7588,0,1,1,0,0,0,1,0
167,11,relational,0,graph,attention,graph,0.5944,1,0,0,1,0,0,1,1
168,11,feature,0,mlp,attention,attention_v2,0.7633,0,1,1,0,0,0,1,0
169,11,feature,1,mlp,attention_v2,attention_v2,0.4852,1,1,0,1,1,1,1,0
170,11,relational,1,graph,mlp,graph,1.1946,1,1,0,1,1,1,1,1
171,11,feature,0,mlp,mlp,attention_v2,0.7935,0,1,1,0,0,0,1,0
172,11,feature,0,mlp,mlp,attention,1.0076,0,1,0,1,0,0,1,0
173,11,contextual,0,attention_v2,attention_v2,attention_v2,0.5561,1,0,0,0,0,0,1,1
174,11,contextual,1,attention_v2,graph,attention_v2,0.7134,1,0,1,1,1,1,1,1
175,11,relational,0,graph,attention,graph,1.3197,1,0,1,1,0,0,1,1
176,11,feature,1,mlp,graph,attention_v2,0.4687,1,1,0,1,1,1,1,0
177,11,contextual,0,attention_v2,mlp,attention_v2,1.0028,1,0,1,0,0,0,1,1
178,11,relational,0,graph,attention_v2,graph,1.0361,1,0,1,0,0,0,1,1
179,11,relational,0,graph,attention,graph,1.0379,1,0,1,0,0,0,1,1
180,11,relational,0,graph,attention,graph,0.9070,1,0,1,0,0,0,1,1
181,11,contextual,0,attention_v2,attention,attention_v2,1.0878,1,0,0,0,0,0,1,1
182,11,feature,1,mlp,graph,attention_v2,0.4769,1,1,0,1,1,1,1,0
183,11,feature,0,mlp,attention,attention_v2,0.7606,0,1,1,0,0,0,1,0
184,11,feature,0,mlp,graph,attention_v2,0.7638,0,1,1,0,0,0,1,0
185,11,feature,1,mlp,attention,attention_v2,0.4686,1,1,1,1,1,1,1,0
186,11,feature,0,mlp,attention_v2,attention_v2,0.7756,0,1,1,0,0,0,1,0
187,11,relational,0,graph,attention,graph,1.1474,1,0,1,0,0,0,1,1
188,11,feature,1,mlp,mlp,attention_v2,0.4656,1,1,0,1,1,1,1,0
189,11,feature,1,mlp,attention_v2,attention_v2,0.4717,1,1,0,1,1,1,1,0
190,11,feature,0,mlp,attention,attention_v2,0.7736,0,1,1,0,0,0,1,0
191,11,feature,1,mlp,attention_v2,attention_v2,0.4754,1,1,0,1,1,1,1,0
192,11,contextual,0,attention_v2,graph,attention_v2,0.7009,1,0,1,0,0,0,1,1
193,11,contextual,0,attention_v2,attention,attention_v2,0.5435,0,0,1,0,0,0,1,1
194,11,feature,0,mlp,attention,attention,1.0123,0,1,0,1,0,0,1,0
195,11,feature,0,mlp,mlp,attention,1.0057,0,1,0,1,0,0,1,0
196,11,feature,1,mlp,attention_v2,mlp,0.7353,1,1,1,0,1,1,1,1
197,11,contextual,0,attention_v2,graph,attention_v2,0.7031,1,0,1,0,0,0,1,1
198,11,relational,0,graph,attention_v2,graph,0.8642,1,1,1,1,1,1,0,1
199,11,feature,1,mlp,attention_v2,mlp,0.7348,1,1,1,0,1,1,1,1
200,11,feature,0,mlp,attention_v2,attention,0.9993,0,1,0,1,0,0,1,0
201,11,contextual,0,attention_v2,attention,attention_v2,0.8172,1,0,0,0,0,0,1,1
202,11,contextual,1,attention_v2,attention_v2,attention_v2,0.5170,1,0,1,1,1,1,1,1
203,11,relational,1,graph,attention_v2,graph,0.8224,1,1,0,1,1,1,1,1
204,11,contextual,0,attention_v2,attention_v2,attention_v2,1.0806,1,0,0,0,0,0,1,1
205,11,contextual,1,attention_v2,graph,attention_v2,0.6910,1,0,1,1,1,1,1,1
206,11,relational,0,graph,attention_v2,graph,1.0972,1,1,0,1,1,1,0,1
207,11,contextual,0,attention_v2,graph,attention_v2,0.8426,1,0,1,0,0,0,1,1
208,11,contextual,0,attention_v2,mlp,attention_v2,0.4357,1,0,1,0,0,0,1,1
209,11,relational,1,graph,attention,graph,0.9595,1,1,1,0,1,1,1,1
210,11,relational,1,graph,mlp,graph,1.1217,1,1,0,1,1,1,1,1
211,11,contextual,1,attention_v2,graph,attention_v2,0.6158,1,0,1,1,1,1,1,1
212,11,contextual,1,attention_v2,attention,attention_v2,0.8339,1,1,0,1,1,1,1,1
213,11,contextual,0,attention_v2,graph,attention_v2,0.7275,1,0,1,0,0,0,1,1
214,11,relational,0,graph,attention_v2,graph,1.2033,1,0,1,1,0,0,1,1
215,11,feature,0,mlp,mlp,attention_v2,0.7727,0,1,1,0,0,0,1,0
216,11,contextual,1,attention_v2,mlp,attention_v2,0.9081,1,1,1,1,1,1,1,1
217,11,feature,0,mlp,attention_v2,attention,1.0215,0,1,0,1,0,0,1,0
218,11,feature,0,mlp,graph,attention,1.0187,0,1,0,1,0,0,1,0
219,11,feature,1,mlp,attention,attention_v2,0.4634,1,1,0,1,1,1,1,0
220,11,feature,0,mlp,attention_v2,attention_v2,0.7663,0,1,1,0,0,0,1,0
221,11,feature,0,mlp,graph,attention_v2,0.7860,0,1,1,0,0,0,1,0
222,11,contextual,0,attention_v2,attention,attention_v2,0.6736,0,0,0,0,0,0,1,1
223,11,relational,0,graph,mlp,graph,1.1393,1,0,1,0,0,0,1,1
224,11,relational,0,graph,attention,graph,1.1111,1,1,0,1,1,1,0,1
225,11,feature,0,mlp,mlp,attention,1.0111,0,1,0,1,0,0,1,0
226,11,relational,1,graph,mlp,graph,1.1180,1,1,0,0,1,1,1,1
227,11,contextual,1,attention_v2,attention,attention_v2,0.9588,1,0,1,1,1,1,1,1
228,11,contextual,1,attention_v2,attention_v2,attention_v2,1.0964,1,0,1,1,1,1,1,1
229,11,feature,0,mlp,attention,attention,1.0093,0,1,0,1,0,0,1,0
230,11,relational,1,graph,attention,graph,0.8250,1,1,1,1,1,1,1,1
231,11,relational,0,graph,graph,graph,0.8876,1,1,1,0,1,1,0,1
232,11,relational,0,graph,mlp,graph,0.8204,1,0,1,0,0,0,1,1
233,11,relational,0,graph,attention_v2,graph,1.0972,1,0,1,1,0,0,1,1
234,11,feature,0,mlp,attention,attention_v2,0.7806,0,1,1,0,0,0,1,0
235,11,relational,1,graph,attention_v2,graph,1.1603,1,1,0,1,1,1,1,1
236,11,feature,1,mlp,attention,attention_v2,0.4795,1,1,1,1,1,1,1,0
237,11,contextual,1,attention_v2,attention_v2,attention_v2,0.6666,0,0,0,1,1,1,1,1
238,11,feature,1,mlp,attention,attention_v2,0.4615,1,1,0,1,1,1,1,0
239,11,relational,1,graph,mlp,graph,1.1575,1,0,1,0,0,0,0,1
240,11,feature,0,mlp,graph,attention_v2,0.7782,0,1,1,0,0,0,1,0
241,11,feature,1,mlp,attention,mlp,0.7220,1,1,1,0,1,1,1,1
242,11,feature,1,mlp,graph,mlp,0.7368,1,1,1,0,1,1,1,1
243,11,contextual,0,attention_v2,mlp,attention_v2,0.7058,1,0,1,0,0,0,1,1
244,11,feature,1,mlp,graph,mlp,0.7320,1,1,1,0,1,1,1,1
245,11,contextual,1,attention_v2,mlp,attention_v2,0.6284,1,0,1,1,1,1,1,1
246,11,feature,0,mlp,attention_v2,attention,1.0141,0,1,0,1,0,0,1,0
247,11,contextual,0,attention_v2,attention_v2,attention_v2,0.9518,1,0,1,0,0,0,1,1
248,11,relational,0,graph,attention_v2,graph,1.1806,1,0,0,0,0,0,1,1
249,11,feature,0,mlp,attention,attention_v2,0.7619,0,1,1,0,0,0,1,0
250,11,contextual,0,attention_v2,attention_v2,attention_v2,1.0063,1,0,1,0,0,0,1,1
251,11,contextual,1,attention_v2,mlp,attention_v2,1.3406,0,0,0,1,1,1,1,1
252,11,relational,1,graph,mlp,graph,1.0746,1,0,1,0,0,0,0,1
253,11,contextual,1,attention_v2,attention,attention_v2,1.0085,1,0,0,1,1,1,1,1
254,11,relational,0,graph,attention,graph,0.8645,1,1,1,0,1,1,0,1
255,11,feature,0,mlp,mlp,attention,1.0050,0,1,0,1,0,0,1,0
256,11,feature,1,mlp,attention_v2,mlp,0.7391,1,1,1,0,1,1,1,1
257,11,contextual,0,attention_v2,attention,attention_v2,0.6926,1,0,1,0,0,0,1,1
258,11,relational,0,graph,attention,graph,0.9500,1,1,1,0,1,1,0,1
259,11,feature,1,mlp,graph,mlp,0.7262,1,1,1,0,1,1,1,1
260,11,relational,1,graph,attention,graph,1.0852,1,1,1,1,1,1,1,1
261,11,feature,1,mlp,attention_v2,mlp,0.7319,1,1,1,0,1,1,1,1
262,11,feature,0,mlp,mlp,attention_v2,0.7664,0,1,1,0,0,0,1,0
263,11,relational,1,graph,attention_v2,graph,0.9633,1,1,1,1,1,1,1,1
264,11,relational,0,graph,graph,graph,1.0711,1,0,1,1,0,0,1,1
265,11,contextual,1,attention_v2,mlp,attention_v2,0.7958,1,0,1,1,1,1,1,1
266,11,feature,1,mlp,graph,attention_v2,0.4660,1,1,1,1,1,1,1,0
267,11,feature,1,mlp,graph,attention_v2,0.4655,1,1,0,1,1,1,1,0
268,11,feature,0,mlp,attention_v2,attention,0.9991,0,1,0,1,0,0,1,0
269,11,feature,1,mlp,mlp,mlp,0.7186,1,1,1,0,1,1,1,1
270,11,relational,1,graph,attention,graph,0.7723,1,1,0,0,1,1,1,1
271,11,contextual,1,attention_v2,mlp,attention_v2,0.5066,1,0,1,1,1,1,1,1
272,11,contextual,0,attention_v2,attention_v2,attention_v2,0.3690,0,0,1,0,0,0,1,1
273,11,contextual,0,attention_v2,mlp,attention_v2,0.9383,1,0,1,0,0,0,1,1
274,11,contextual,0,attention_v2,attention_v2,attention_v2,0.9464,1,0,0,0,0,0,1,1
275,11,contextual,1,attention_v2,attention_v2,attention_v2,0.4689,1,0,1,1,1,1,1,1
276,11,contextual,0,attention_v2,graph,attention_v2,0.5135,1,1,0,0,0,0,1,1
277,11,feature,1,mlp,mlp,attention_v2,0.4729,1,1,0,1,1,1,1,0
278,11,relational,1,graph,graph,graph,0.9847,1,1,0,1,1,1,1,1
279,11,contextual,0,attention_v2,mlp,attention_v2,0.8144,1,0,1,0,0,0,1,1
280,11,feature,0,mlp,graph,attention_v2,0.7665,0,1,1,0,0,0,1,0
281,11,relational,0,graph,graph,graph,1.0178,1,0,1,0,0,0,1,1
282,11,feature,1,mlp,attention,mlp,0.7368,1,1,1,0,1,1,1,1
283,11,relational,0,graph,mlp,graph,0.7221,1,0,1,1,0,0,1,1
284,11,contextual,1,attention_v2,attention,attention_v2,0.7331,1,0,1,1,1,1,1,1
285,11,feature,1,mlp,mlp,attention_v2,0.4791,1,1,0,1,1,1,1,0
286,11,feature,0,mlp,attention,attention,1.0070,0,1,0,1,0,0,1,0
287,11,relational,1,graph,mlp,graph,0.8870,1,1,0,1,1,1,1,1
288,11,feature,0,mlp,attention_v2,attention,1.0084,0,1,0,1,0,0,1,0
289,11,contextual,1,attention_v2,attention,attention_v2,0.9688,0,0,0,1,1,1,1,1
290,11,contextual,1,attention_v2,attention,attention_v2,1.2307,1,0,1,1,1,1,1,1
291,11,contextual,0,attention_v2,graph,attention_v2,0.7109,1,0,1,0,0,0,1,1
292,11,contextual,1,attention_v2,attention,attention_v2,0.5894,0,1,0,1,1,1,1,1
293,11,relational,0,graph,mlp,graph,1.2254,1,0,1,0,0,0,1,1
294,11,relational,0,graph,attention,graph,1.1635,1,0,0,0,0,0,1,1
295,11,contextual,0,attention_v2,graph,attention_v2,0.6197,1,0,1,0,0,0,1,1
296,11,feature,1,mlp,attention,mlp,0.7292,1,1,1,0,1,1,1,1
297,11,feature,0,mlp,attention,attention_v2,0.7789,0,1,1,0,0,0,1,0
298,11,relational,0,graph,mlp,graph,1.2153,1,0,1,1,0,0,1,1
299,11,feature,0,mlp,graph,attention,1.0164,0,1,0,1,0,0,1,0
300,11,feature,0,mlp,mlp,attention,1.0109,0,1,0,1,0,0,1,0
301,11,feature,0,mlp,graph,attention_v2,0.7834,0,1,1,0,0,0,1,0
302,11,relational,0,graph,attention_v2,graph,0.9692,1,0,1,0,0,0,1,1
303,11,contextual,1,attention_v2,mlp,attention_v2,0.6200,1,0,1,1,1,1,1,1
304,11,feature,1,mlp,mlp,mlp,0.7273,1,1,1,0,1,1,1,1
305,11,contextual,1,attention_v2,graph,attention_v2,0.9691,1,0,0,1,1,1,1,1
306,11,feature,0,mlp,graph,attention_v2,0.7692,0,1,1,0,0,0,1,0
307,11,contextual,0,attention_v2,mlp,attention_v2,0.7017,1,0,1,0,0,0,1,1
308,11,feature,1,mlp,graph,mlp,0.7387,1,1,1,0,1,1,1,1
309,11,relational,1,graph,attention,graph,1.0476,1,1,1,1,1,1,1,1
310,11,relational,0,graph,attention_v2,graph,0.9877,1,1,0,1,1,1,0,1
311,11,relational,0,graph,attention_v2,graph,1.0716,1,0,0,1,0,0,1,1
312,11,relational,0,graph,attention_v2,graph,0.8760,1,0,1,0,0,0,1,1
313,11,feature,0,mlp,graph,attention,1.0042,0,1,0,1,0,0,1,0
314,11,feature,0,mlp,mlp,attention,1.0053,0,1,0,1,0,0,1,0
315,11,relational,0,graph,attention_v2,graph,1.0410,1,1,0,0,1,1,0,1
316,11,feature,1,mlp,attention_v2,mlp,0.7481,1,1,1,0,1,1,1,1
317,11,relational,1,graph,graph,graph,1.1428,1,0,0,1,0,0,0,1
