sample_id,family,true_target,predicted_target,correct,agreement_group,component_R_available,component_C_available,filter_stage,evidence_source,status
71,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
87,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
100,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
106,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
111,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
133,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
143,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
160,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
165,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
170,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
180,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
181,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
183,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
189,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
190,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
207,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
212,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
217,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
225,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
231,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
232,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
248,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
253,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
255,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
261,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
263,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
268,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
275,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
289,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
315,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
318,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
320,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
325,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
332,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
343,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
345,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
352,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
362,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
369,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
377,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
379,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
383,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
386,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
387,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
394,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
398,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
404,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
408,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
419,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
420,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
427,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
429,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
433,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
438,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
440,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
455,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
456,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
457,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
458,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
478,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
485,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
487,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
488,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
497,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
502,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
507,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
512,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
516,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
521,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
533,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
538,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
539,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
540,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
541,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
548,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
561,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
565,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
571,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
572,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
573,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
574,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
575,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
582,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
593,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
594,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
597,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
625,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
627,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
636,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
637,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
643,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
646,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
647,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
650,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
682,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
686,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
687,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
696,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
699,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
716,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
721,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
741,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
752,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
757,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
766,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
779,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
784,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
794,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
809,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
836,RC,1,0,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
SUMMARY,RC,,,,TOTAL_RC=120; AGREE_PRED=62; DISAGREE_PRED=58,NOT_FROM_MODEL,NOT_FROM_MODEL,reconstructed_predictions_complete,reconstructed_predictions.npy,VERIFIED_SUMMARY
