seed,sample,family,sf,sr,sc,target
23,250,FRC,1,-1,-1,0
23,255,RC,1,-1,-1,0
23,259,RC,-1,-1,-1,0
23,263,RC,-1,-1,1,0
23,270,FRC,-1,-1,-1,0
23,272,FRC,-1,1,-1,0
23,274,RC,-1,-1,-1,0
23,275,RC,-1,1,1,1
23,283,FRC,-1,1,1,1
23,288,FRC,-1,1,-1,0
23,290,FRC,1,1,1,1
23,294,FRC,-1,-1,-1,0
23,295,FRC,1,-1,1,1
23,297,RC,1,-1,-1,0
23,298,RC,1,1,-1,1
23,302,RC,-1,1,1,1
23,308,RC,-1,-1,-1,0
23,316,FRC,1,1,1,1
23,318,FRC,1,1,-1,1
23,319,RC,-1,-1,1,0
23,321,RC,1,1,1,1
23,323,RC,-1,1,1,1
23,326,RC,1,1,-1,1
23,327,RC,1,-1,1,0
23,328,FRC,-1,-1,1,0
23,329,RC,1,-1,-1,0
23,330,FRC,1,-1,-1,0
23,331,FRC,-1,-1,-1,0
23,335,RC,-1,-1,-1,0
23,336,FRC,1,1,-1,1
23,341,FRC,1,1,1,1
23,344,FRC,-1,1,1,1
23,349,FRC,-1,1,1,1
23,356,RC,-1,1,-1,1
23,357,RC,-1,1,-1,1
23,358,RC,-1,1,1,1
23,359,RC,-1,1,1,1
23,366,FRC,-1,1,1,1
23,367,FRC,-1,1,1,1
23,369,FRC,1,-1,-1,0
23,372,FRC,1,-1,-1,0
23,373,FRC,-1,-1,-1,0
23,374,RC,1,1,-1,1
23,378,RC,-1,1,-1,1
23,390,FRC,1,-1,1,1
23,393,FRC,-1,1,1,1
23,397,RC,-1,1,1,1
23,398,FRC,1,1,-1,1
23,399,RC,-1,1,-1,1
23,400,RC,1,-1,-1,0
23,402,RC,1,-1,1,0
23,404,RC,-1,-1,1,0
23,409,FRC,1,1,1,1
23,412,FRC,1,-1,-1,0
23,419,FRC,1,1,1,1
23,421,RC,1,1,-1,1
23,423,RC,1,1,-1,1
23,432,RC,-1,-1,1,0
23,433,RC,-1,-1,1,0
23,438,FRC,1,1,-1,1
23,442,FRC,-1,-1,-1,0
23,449,FRC,-1,1,1,1
23,450,RC,1,-1,-1,0
23,452,RC,-1,-1,-1,0
23,453,FRC,-1,-1,1,0
23,458,RC,-1,1,-1,1
23,466,FRC,1,-1,-1,0
23,471,FRC,1,-1,-1,0
23,472,FRC,-1,-1,1,0
23,474,RC,1,1,-1,1
23,477,RC,-1,1,1,1
23,479,RC,1,-1,1,0
23,481,FRC,-1,1,1,1
23,485,FRC,-1,-1,1,0
23,488,RC,-1,1,-1,1
23,489,FRC,1,1,1,1
23,490,FRC,-1,1,1,1
23,492,RC,-1,1,1,1
23,498,FRC,-1,1,1,1
23,508,RC,1,-1,1,0
23,511,FRC,-1,-1,-1,0
23,521,RC,-1,1,-1,1
23,523,FRC,1,-1,-1,0
23,524,RC,1,-1,1,0
23,526,FRC,-1,1,-1,0
23,536,FRC,-1,1,1,1
23,537,FRC,1,-1,-1,0
23,538,FRC,-1,1,1,1
23,539,FRC,1,-1,-1,0
23,543,RC,-1,1,-1,1
23,546,FRC,-1,1,-1,0
23,547,RC,1,1,1,1
23,548,RC,-1,-1,1,0
23,550,FRC,1,1,-1,1
23,554,RC,1,-1,-1,0
23,556,FRC,1,-1,-1,0
23,557,FRC,-1,1,-1,0
23,560,FRC,1,-1,-1,0
23,561,FRC,-1,1,1,1
23,563,FRC,1,1,-1,1
23,564,RC,-1,1,-1,1
23,569,FRC,1,1,-1,1
23,570,RC,-1,-1,-1,0
23,580,RC,1,1,1,1
23,593,RC,1,1,1,1
23,599,RC,-1,-1,1,0
23,600,FRC,-1,-1,-1,0
23,601,RC,1,-1,1,0
23,604,FRC,1,-1,1,1
23,611,RC,1,-1,-1,0
23,617,FRC,-1,-1,-1,0
23,618,RC,1,1,-1,1
23,622,FRC,1,1,1,1
23,628,RC,1,1,1,1
23,633,RC,-1,-1,-1,0
23,642,FRC,1,1,-1,1
23,645,FRC,-1,-1,-1,0
23,647,FRC,-1,1,1,1
23,651,RC,1,1,1,1
23,653,RC,1,-1,-1,0
23,654,FRC,-1,1,1,1
23,656,RC,-1,-1,1,0
23,659,FRC,1,-1,1,1
23,663,RC,-1,-1,1,0
23,664,FRC,1,-1,1,1
23,667,RC,-1,1,-1,1
23,668,FRC,1,1,-1,1
23,676,FRC,1,-1,1,1
23,687,RC,1,-1,-1,0
23,692,RC,-1,-1,-1,0
23,693,FRC,1,-1,1,1
23,694,FRC,1,-1,1,1
23,701,RC,1,-1,-1,0
23,702,RC,1,-1,1,0
23,703,RC,1,1,1,1
23,707,FRC,-1,-1,-1,0
23,710,FRC,1,-1,-1,0
23,712,FRC,-1,1,1,1
23,714,FRC,1,1,1,1
23,715,RC,-1,-1,-1,0
23,721,RC,-1,-1,1,0
23,722,RC,1,1,1,1
23,727,RC,-1,-1,1,0
23,728,FRC,-1,1,1,1
23,731,RC,1,-1,1,0
23,734,RC,-1,-1,1,0
23,738,RC,1,1,1,1
23,739,FRC,1,1,-1,1
23,740,RC,1,-1,-1,0
23,741,RC,1,1,-1,1
23,752,RC,1,1,-1,1
23,753,FRC,1,-1,-1,0
23,757,FRC,1,-1,-1,0
23,762,FRC,1,-1,1,1
23,763,FRC,1,-1,1,1
23,767,FRC,-1,-1,-1,0
23,768,RC,-1,-1,1,0
23,769,RC,-1,-1,1,0
23,770,RC,-1,-1,-1,0
23,771,FRC,1,-1,1,1
23,772,FRC,-1,1,-1,0
23,774,FRC,-1,-1,1,0
23,775,FRC,-1,-1,-1,0
23,776,RC,1,1,-1,1
23,778,RC,1,-1,1,0
23,789,RC,-1,-1,-1,0
23,790,RC,1,1,-1,1
23,792,RC,-1,1,1,1
23,797,RC,-1,-1,-1,0
23,800,FRC,-1,1,-1,0
23,802,FRC,1,-1,1,1
23,808,RC,1,1,1,1
23,811,RC,-1,1,1,1
23,813,RC,1,-1,1,0
23,815,RC,1,1,-1,1
23,817,FRC,-1,-1,-1,0
23,825,FRC,-1,1,-1,0
23,826,RC,1,-1,-1,0
23,827,RC,1,1,1,1
23,830,RC,-1,-1,-1,0
23,831,FRC,1,-1,1,1
23,834,FRC,-1,-1,-1,0
23,835,FRC,-1,-1,1,0
23,836,RC,1,1,1,1
37,5,FRC,-1,-1,1,0
37,10,RC,1,-1,1,0
37,11,RC,1,1,-1,1
37,15,RC,1,-1,-1,0
37,18,FRC,1,-1,-1,0
37,19,FRC,-1,1,-1,0
37,25,FRC,1,1,1,1
37,28,RC,-1,1,1,1
37,30,RC,1,1,1,1
37,37,FRC,-1,-1,1,0
37,40,FRC,-1,1,-1,0
37,44,RC,1,1,-1,1
37,45,RC,1,-1,-1,0
37,46,FRC,1,-1,-1,0
37,51,RC,-1,-1,-1,0
37,52,FRC,-1,-1,-1,0
37,54,FRC,-1,1,1,1
37,55,RC,1,1,-1,1
37,57,FRC,1,-1,1,1
37,61,RC,-1,-1,1,0
37,63,RC,-1,1,-1,1
37,71,RC,-1,1,1,1
37,76,FRC,-1,-1,-1,0
37,78,RC,-1,1,1,1
37,79,RC,-1,-1,1,0
37,89,FRC,1,-1,-1,0
37,91,RC,1,1,1,1
37,92,RC,1,-1,1,0
37,93,RC,-1,-1,1,0
37,95,RC,-1,-1,1,0
37,100,FRC,-1,-1,1,0
37,101,FRC,1,1,1,1
37,103,FRC,-1,-1,1,0
37,107,RC,1,1,1,1
37,108,RC,1,1,-1,1
37,110,RC,1,1,-1,1
37,111,FRC,-1,1,1,1
37,112,RC,-1,-1,-1,0
37,116,RC,1,1,-1,1
37,117,RC,-1,1,1,1
37,118,FRC,-1,1,1,1
37,121,FRC,-1,1,1,1
37,122,RC,1,1,-1,1
37,123,RC,1,1,1,1
37,124,RC,-1,-1,-1,0
37,125,FRC,1,1,-1,1
37,129,RC,1,1,-1,1
37,131,FRC,1,1,1,1
37,132,FRC,1,1,-1,1
37,134,FRC,-1,-1,-1,0
37,136,RC,-1,-1,-1,0
37,144,FRC,1,-1,1,1
37,145,FRC,1,1,-1,1
37,149,RC,-1,1,-1,1
37,152,RC,-1,-1,-1,0
37,153,FRC,-1,-1,1,0
37,154,FRC,1,1,-1,1
37,174,RC,1,-1,-1,0
37,175,FRC,1,1,-1,1
37,181,FRC,-1,-1,-1,0
37,184,FRC,1,1,1,1
37,185,RC,-1,-1,-1,0
37,191,RC,1,1,1,1
37,192,RC,1,1,1,1
37,198,FRC,-1,1,-1,0
37,205,FRC,1,-1,-1,0
37,209,FRC,1,-1,1,1
37,216,FRC,1,-1,1,1
37,217,RC,-1,-1,-1,0
37,224,FRC,1,1,1,1
37,226,FRC,-1,-1,-1,0
37,231,RC,-1,1,1,1
37,236,FRC,1,-1,-1,0
37,237,FRC,-1,1,-1,0
37,239,FRC,1,-1,1,1
37,242,RC,1,-1,-1,0
37,252,RC,1,-1,1,0
37,255,FRC,1,-1,-1,0
37,259,RC,-1,1,-1,1
37,260,FRC,1,1,1,1
37,263,FRC,1,-1,-1,0
37,274,RC,-1,-1,1,0
37,276,RC,-1,1,-1,1
37,277,RC,-1,1,1,1
37,278,RC,-1,-1,-1,0
37,282,RC,-1,1,-1,1
37,284,RC,1,1,1,1
37,288,FRC,-1,-1,1,0
37,289,FRC,1,1,1,1
37,291,FRC,1,1,1,1
37,306,RC,1,1,1,1
37,308,RC,-1,-1,1,0
37,309,FRC,1,-1,1,1
37,312,RC,-1,1,1,1
37,318,RC,1,1,1,1
37,321,FRC,-1,-1,1,0
37,326,FRC,1,1,-1,1
37,329,RC,-1,1,-1,1
37,331,FRC,-1,1,1,1
37,336,RC,-1,-1,1,0
37,350,FRC,-1,-1,-1,0
37,356,FRC,-1,1,-1,0
37,364,RC,1,1,-1,1
37,367,RC,1,-1,1,0
37,368,FRC,-1,-1,-1,0
37,372,RC,1,-1,-1,0
37,374,FRC,-1,1,-1,0
37,379,RC,-1,1,1,1
37,391,FRC,-1,-1,-1,0
37,392,RC,-1,1,-1,1
37,399,RC,1,1,1,1
37,403,RC,1,-1,1,0
37,406,FRC,-1,-1,1,0
37,408,RC,1,-1,-1,0
37,414,FRC,-1,-1,-1,0
37,417,RC,1,1,1,1
37,423,FRC,-1,-1,-1,0
37,424,RC,-1,1,-1,1
37,427,RC,1,-1,-1,0
37,438,RC,-1,1,-1,1
37,439,FRC,1,-1,-1,0
37,440,RC,1,1,-1,1
37,443,FRC,1,1,-1,1
37,444,FRC,-1,-1,1,0
37,448,FRC,1,-1,1,1
37,450,FRC,-1,-1,1,0
37,458,RC,-1,1,1,1
37,460,FRC,-1,1,1,1
37,461,FRC,1,-1,1,1
37,462,RC,-1,-1,-1,0
37,463,RC,-1,-1,-1,0
37,464,RC,1,-1,1,0
37,470,FRC,-1,-1,1,0
37,476,FRC,1,-1,1,1
37,483,RC,1,-1,1,0
37,487,FRC,-1,1,-1,0
37,489,FRC,-1,1,1,1
37,491,FRC,1,-1,-1,0
37,492,RC,1,1,-1,1
37,495,FRC,-1,1,1,1
37,498,RC,-1,1,-1,1
37,511,FRC,1,-1,1,1
37,517,FRC,1,-1,-1,0
37,518,FRC,1,-1,1,1
37,520,FRC,-1,1,1,1
37,523,RC,-1,1,-1,1
37,534,RC,-1,1,-1,1
37,536,FRC,-1,1,1,1
37,538,RC,1,-1,1,0
37,542,RC,-1,1,1,1
37,544,FRC,1,-1,-1,0
37,547,RC,-1,-1,1,0
37,548,FRC,-1,1,1,1
37,553,FRC,1,1,-1,1
37,555,FRC,-1,-1,-1,0
37,556,FRC,1,1,-1,1
37,557,RC,1,-1,-1,0
37,564,RC,1,1,1,1
37,565,FRC,1,-1,1,1
37,566,RC,-1,1,-1,1
37,576,RC,1,-1,-1,0
37,579,FRC,1,-1,-1,0
37,583,RC,1,-1,-1,0
37,584,FRC,-1,1,1,1
37,586,RC,-1,-1,-1,0
37,588,RC,-1,1,-1,1
37,590,RC,-1,-1,1,0
37,591,RC,-1,1,1,1
37,600,FRC,-1,-1,-1,0
37,609,FRC,1,-1,-1,0
37,611,FRC,-1,-1,1,0
37,613,FRC,1,-1,1,1
37,614,FRC,1,-1,1,1
37,618,RC,-1,1,1,1
37,619,FRC,1,-1,-1,0
37,622,FRC,-1,1,1,1
37,624,RC,1,1,-1,1
37,636,FRC,-1,1,-1,0
37,638,FRC,1,-1,1,1
37,643,FRC,1,1,1,1
37,651,RC,1,1,-1,1
37,653,RC,-1,-1,-1,0
37,655,RC,1,1,1,1
37,656,FRC,1,1,1,1
37,657,FRC,-1,1,1,1
37,658,RC,-1,1,1,1
37,660,RC,1,-1,1,0
37,661,RC,-1,1,1,1
37,662,RC,1,1,1,1
37,663,FRC,-1,1,-1,0
37,664,RC,1,-1,-1,0
37,665,FRC,1,1,-1,1
37,674,FRC,-1,1,-1,0
37,675,RC,1,1,-1,1
37,682,FRC,1,-1,-1,0
37,690,FRC,1,-1,-1,0
37,692,RC,-1,-1,-1,0
37,698,FRC,1,-1,1,1
37,700,FRC,-1,-1,-1,0
37,702,FRC,-1,1,-1,0
37,705,RC,-1,1,1,1
37,709,RC,-1,1,1,1
37,711,RC,1,1,1,1
37,712,RC,-1,1,1,1
37,716,RC,-1,1,1,1
37,718,RC,1,-1,-1,0
37,726,FRC,1,-1,-1,0
37,730,FRC,-1,-1,-1,0
37,734,RC,-1,1,1,1
37,735,RC,1,-1,1,0
37,737,FRC,1,-1,1,1
37,740,RC,1,1,1,1
37,744,FRC,-1,1,1,1
37,751,FRC,1,1,1,1
37,752,FRC,-1,1,1,1
37,755,FRC,1,1,-1,1
37,759,RC,1,1,1,1
37,763,RC,-1,-1,-1,0
37,769,FRC,-1,-1,-1,0
37,774,RC,-1,1,1,1
37,775,RC,1,1,1,1
37,776,FRC,-1,1,-1,0
37,782,RC,1,1,1,1
37,783,RC,1,1,1,1
37,785,RC,-1,-1,-1,0
37,787,FRC,1,1,1,1
37,788,FRC,1,1,-1,1
37,790,FRC,1,1,-1,1
37,792,RC,1,1,-1,1
37,795,RC,1,-1,-1,0
37,799,FRC,-1,-1,1,0
37,803,RC,-1,1,1,1
37,805,RC,1,-1,-1,0
37,807,FRC,-1,-1,-1,0
37,814,FRC,-1,1,-1,0
37,823,RC,1,1,-1,1
37,825,FRC,1,-1,1,1
37,828,RC,-1,1,-1,1
37,830,FRC,-1,-1,1,0
37,838,FRC,-1,-1,-1,0
