sample_id,family,R_true,C_true,RC_true,prediction,agreement,agreement_based_on_pred_vs_true,filter_stage,status
170,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
180,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
181,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
183,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
189,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
190,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
207,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
212,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
217,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
225,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
231,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
232,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
248,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
253,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
255,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
261,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
263,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
268,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
275,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
289,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
315,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
318,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
320,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
325,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
332,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
343,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
345,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
352,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
362,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
369,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
377,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
379,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
383,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
386,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
387,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
394,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
398,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
404,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
408,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
419,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
420,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
427,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
429,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
433,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
438,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
440,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
455,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
456,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
457,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
458,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
478,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
485,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
487,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
488,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
497,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
502,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
507,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
512,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
516,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
521,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
533,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
538,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
539,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
540,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
541,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
548,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
561,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
565,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
571,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
572,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
573,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
574,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
575,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
582,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
593,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
594,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
597,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
625,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
627,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
636,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
637,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
643,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
646,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
647,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
650,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
682,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
686,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
687,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
696,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
699,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
716,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
721,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
741,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
752,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
757,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
766,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
779,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
784,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
794,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
809,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
836,RC,1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
SUMMARY,RC,,,,,RC_samples_total=120,PREDICTIONS_RECONSTRUCTED_FROM_CHECKPOINT,filter_complete,VERIFIED
