seed,sample_id,policy,family,active_k,selected_experts,target,predicted,correct
11,8,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,0,0,True
11,9,Fixed k=2 (Uniform C1),FRC,2,graph+attention_v2,1,1,True
11,10,Fixed k=2 (Uniform C1),RC,2,graph+attention_v2,1,1,True
11,11,Fixed k=2 (Uniform C1),RC,2,graph+attention_v2,0,0,True
11,12,Fixed k=2 (Uniform C1),R,2,graph+attention,0,0,True
11,13,Fixed k=2 (Uniform C1),F,2,graph+attention_v2,1,1,True
11,14,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,1,1,True
11,15,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,0,0,True
11,16,Fixed k=2 (Uniform C1),FR,2,attention+graph,1,1,True
11,17,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,0,0,True
11,18,Fixed k=2 (Uniform C1),RC,2,graph+attention_v2,0,0,True
11,19,Fixed k=2 (Uniform C1),FRC,2,graph+attention_v2,1,1,True
11,20,Fixed k=2 (Uniform C1),FR,2,graph+attention,0,0,True
11,21,Fixed k=2 (Uniform C1),R,2,graph+attention,0,1,False
11,22,Fixed k=2 (Uniform C1),R,2,graph+attention,1,1,True
11,23,Fixed k=2 (Uniform C1),RC,2,graph+attention,0,0,True
11,24,Fixed k=2 (Uniform C1),RC,2,graph+attention_v2,0,1,False
11,25,Fixed k=2 (Uniform C1),R,2,graph+attention,1,1,True
11,26,Fixed k=2 (Uniform C1),FRC,2,graph+attention,0,0,True
11,27,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,0,0,True
11,28,Fixed k=2 (Uniform C1),FR,2,attention+graph,1,1,True
11,29,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,0,0,True
11,30,Fixed k=2 (Uniform C1),C,2,graph+attention,0,0,True
11,31,Fixed k=2 (Uniform C1),FR,2,graph+attention,0,1,False
11,32,Fixed k=2 (Uniform C1),F,2,graph+attention_v2,1,0,False
11,33,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,1,0,False
11,34,Fixed k=2 (Uniform C1),FRC,2,graph+attention_v2,1,1,True
11,35,Fixed k=2 (Uniform C1),FRC,2,graph+attention_v2,1,0,False
11,36,Fixed k=2 (Uniform C1),FRC,2,graph+attention_v2,1,1,True
11,37,Fixed k=2 (Uniform C1),FR,2,attention+graph,0,1,False
11,38,Fixed k=2 (Uniform C1),F,2,graph+attention_v2,0,1,False
11,39,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,1,1,True
11,0,Fixed k=3,FC,3,graph+attention_v2+attention,0,0,True
11,1,Fixed k=3,C,3,graph+attention+attention_v2,1,1,True
11,2,Fixed k=3,C,3,graph+attention+attention_v2,1,1,True
11,3,Fixed k=3,RC,3,graph+attention_v2+attention,1,1,True
11,4,Fixed k=3,FC,3,graph+attention_v2+attention,1,0,False
11,5,Fixed k=3,F,3,attention+graph+attention_v2,1,1,True
11,6,Fixed k=3,FC,3,graph+attention_v2+attention,0,0,True
11,7,Fixed k=3,F,3,graph+attention_v2+attention,1,0,False
11,8,Fixed k=3,FC,3,graph+attention_v2+attention,0,0,True
11,9,Fixed k=3,FRC,3,graph+attention_v2+attention,1,1,True
11,10,Fixed k=3,RC,3,graph+attention_v2+attention,1,1,True
11,11,Fixed k=3,RC,3,graph+attention_v2+attention,0,0,True
11,12,Fixed k=3,R,3,graph+attention+attention_v2,0,1,False
11,13,Fixed k=3,F,3,graph+attention_v2+attention,1,1,True
11,14,Fixed k=3,C,3,graph+attention_v2+attention,1,1,True
11,15,Fixed k=3,C,3,graph+attention_v2+attention,0,0,True
11,16,Fixed k=3,FR,3,attention+graph+attention_v2,1,1,True
11,17,Fixed k=3,C,3,graph+attention_v2+attention,0,0,True
11,18,Fixed k=3,RC,3,graph+attention_v2+attention,0,0,True
11,19,Fixed k=3,FRC,3,graph+attention_v2+attention,1,1,True
11,20,Fixed k=3,FR,3,graph+attention+mlp,0,0,True
11,21,Fixed k=3,R,3,graph+attention+attention_v2,0,1,False
11,22,Fixed k=3,R,3,graph+attention+attention_v2,1,0,False
11,23,Fixed k=3,RC,3,graph+attention+attention_v2,0,0,True
11,24,Fixed k=3,RC,3,graph+attention_v2+attention,0,1,False
11,25,Fixed k=3,R,3,graph+attention+attention_v2,1,0,False
11,26,Fixed k=3,FRC,3,graph+attention+attention_v2,0,0,True
11,27,Fixed k=3,C,3,graph+attention_v2+attention,0,0,True
11,28,Fixed k=3,FR,3,attention+graph+attention_v2,1,1,True
11,29,Fixed k=3,C,3,graph+attention_v2+attention,0,0,True
11,30,Fixed k=3,C,3,graph+attention+attention_v2,0,0,True
11,31,Fixed k=3,FR,3,graph+attention+attention_v2,0,1,False
11,32,Fixed k=3,F,3,graph+attention_v2+attention,1,0,False
11,33,Fixed k=3,FC,3,graph+attention_v2+attention,1,0,False
11,34,Fixed k=3,FRC,3,graph+attention_v2+attention,1,1,True
11,35,Fixed k=3,FRC,3,graph+attention_v2+attention,1,0,False
11,36,Fixed k=3,FRC,3,graph+attention_v2+attention,1,1,True
11,37,Fixed k=3,FR,3,attention+graph+mlp,0,1,False
11,38,Fixed k=3,F,3,graph+attention_v2+attention,0,1,False
11,39,Fixed k=3,FC,3,graph+attention_v2+attention,1,1,True
23,0,k=1 Baseline (Phase 8B),R,1,mlp,0,0,True
23,1,k=1 Baseline (Phase 8B),C,1,graph,1,0,False
23,2,k=1 Baseline (Phase 8B),F,1,graph,0,1,False
23,3,k=1 Baseline (Phase 8B),RC,1,mlp,1,0,False
23,4,k=1 Baseline (Phase 8B),C,1,graph,1,0,False
23,5,k=1 Baseline (Phase 8B),R,1,mlp,0,0,True
23,6,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,7,k=1 Baseline (Phase 8B),C,1,graph,1,1,True
23,8,k=1 Baseline (Phase 8B),FC,1,graph,1,0,False
23,9,k=1 Baseline (Phase 8B),FC,1,graph,1,0,False
23,10,k=1 Baseline (Phase 8B),F,1,mlp,1,1,True
23,11,k=1 Baseline (Phase 8B),FR,1,graph,0,1,False
23,12,k=1 Baseline (Phase 8B),C,1,graph,0,0,True
23,13,k=1 Baseline (Phase 8B),F,1,mlp,0,0,True
23,14,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,15,k=1 Baseline (Phase 8B),F,1,graph,1,1,True
23,16,k=1 Baseline (Phase 8B),RC,1,graph,1,0,False
23,17,k=1 Baseline (Phase 8B),FR,1,mlp,1,1,True
23,18,k=1 Baseline (Phase 8B),FR,1,mlp,0,0,True
23,19,k=1 Baseline (Phase 8B),FC,1,graph,1,0,False
23,20,k=1 Baseline (Phase 8B),FR,1,graph,0,1,False
23,21,k=1 Baseline (Phase 8B),FR,1,graph,0,1,False
23,22,k=1 Baseline (Phase 8B),C,1,graph,1,0,False
23,23,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,24,k=1 Baseline (Phase 8B),C,1,mlp,1,0,False
23,25,k=1 Baseline (Phase 8B),FRC,1,graph,1,0,False
23,26,k=1 Baseline (Phase 8B),FRC,1,graph,0,0,True
23,27,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,28,k=1 Baseline (Phase 8B),F,1,graph,0,1,False
23,29,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,30,k=1 Baseline (Phase 8B),FC,1,graph,0,0,True
23,31,k=1 Baseline (Phase 8B),FRC,1,mlp,0,0,True
23,32,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,33,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,34,k=1 Baseline (Phase 8B),FC,1,mlp,1,0,False
23,35,k=1 Baseline (Phase 8B),R,1,mlp,1,0,False
23,36,k=1 Baseline (Phase 8B),F,1,mlp,0,0,True
23,37,k=1 Baseline (Phase 8B),FR,1,graph,1,1,True
23,38,k=1 Baseline (Phase 8B),F,1,graph,0,1,False
23,39,k=1 Baseline (Phase 8B),FR,1,graph,0,1,False
23,0,Fixed k=2 (Uniform C1),R,2,mlp+graph,0,0,True
23,1,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,1,1,True
23,2,Fixed k=2 (Uniform C1),F,2,graph+attention,0,1,False
23,3,Fixed k=2 (Uniform C1),RC,2,mlp+graph,1,0,False
23,4,Fixed k=2 (Uniform C1),C,2,graph+mlp,1,0,False
23,5,Fixed k=2 (Uniform C1),R,2,mlp+graph,0,0,True
23,6,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,1,True
23,7,Fixed k=2 (Uniform C1),C,2,graph+mlp,1,0,False
23,8,Fixed k=2 (Uniform C1),FC,2,graph+mlp,1,0,False
23,9,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,1,0,False
23,10,Fixed k=2 (Uniform C1),F,2,mlp+attention,1,1,True
23,11,Fixed k=2 (Uniform C1),FR,2,graph+mlp,0,0,True
23,12,Fixed k=2 (Uniform C1),C,2,graph+mlp,0,0,True
23,13,Fixed k=2 (Uniform C1),F,2,mlp+attention,0,0,True
23,14,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,0,False
23,15,Fixed k=2 (Uniform C1),F,2,graph+attention,1,0,False
23,16,Fixed k=2 (Uniform C1),RC,2,graph+attention_v2,1,0,False
23,17,Fixed k=2 (Uniform C1),FR,2,mlp+graph,1,1,True
23,18,Fixed k=2 (Uniform C1),FR,2,mlp+attention_v2,0,0,True
23,19,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,1,0,False
23,20,Fixed k=2 (Uniform C1),FR,2,graph+mlp,0,1,False
23,21,Fixed k=2 (Uniform C1),FR,2,graph+mlp,0,0,True
23,22,Fixed k=2 (Uniform C1),C,2,graph+attention_v2,1,1,True
23,23,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,0,False
23,24,Fixed k=2 (Uniform C1),C,2,mlp+graph,1,1,True
23,25,Fixed k=2 (Uniform C1),FRC,2,graph+mlp,1,0,False
23,26,Fixed k=2 (Uniform C1),FRC,2,graph+mlp,0,0,True
23,27,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,0,False
23,28,Fixed k=2 (Uniform C1),F,2,graph+attention,0,1,False
23,29,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,0,False
23,30,Fixed k=2 (Uniform C1),FC,2,graph+mlp,0,0,True
23,31,Fixed k=2 (Uniform C1),FRC,2,mlp+graph,0,1,False
23,32,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,0,False
23,33,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,1,True
23,34,Fixed k=2 (Uniform C1),FC,2,mlp+graph,1,0,False
23,35,Fixed k=2 (Uniform C1),R,2,mlp+graph,1,0,False
23,36,Fixed k=2 (Uniform C1),F,2,mlp+attention,0,0,True
23,37,Fixed k=2 (Uniform C1),FR,2,graph+attention_v2,1,0,False
23,38,Fixed k=2 (Uniform C1),F,2,graph+attention,0,1,False
23,39,Fixed k=2 (Uniform C1),FR,2,graph+attention_v2,0,0,True
23,0,Fixed k=3,R,3,mlp+graph+attention_v2,0,0,True
23,1,Fixed k=3,C,3,graph+attention_v2+mlp,1,1,True
23,2,Fixed k=3,F,3,graph+attention+attention_v2,0,1,False
23,3,Fixed k=3,RC,3,mlp+graph+attention_v2,1,1,True
23,4,Fixed k=3,C,3,graph+mlp+attention_v2,1,1,True
23,5,Fixed k=3,R,3,mlp+graph+attention_v2,0,0,True
23,6,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,7,Fixed k=3,C,3,graph+mlp+attention_v2,1,1,True
23,8,Fixed k=3,FC,3,graph+mlp+attention_v2,1,0,False
23,9,Fixed k=3,FC,3,graph+attention_v2+mlp,1,0,False
23,10,Fixed k=3,F,3,mlp+attention+graph,1,1,True
23,11,Fixed k=3,FR,3,graph+mlp+attention_v2,0,0,True
23,12,Fixed k=3,C,3,graph+mlp+attention_v2,0,0,True
23,13,Fixed k=3,F,3,mlp+attention+attention_v2,0,0,True
23,14,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,15,Fixed k=3,F,3,graph+attention+attention_v2,1,0,False
23,16,Fixed k=3,RC,3,graph+attention_v2+mlp,1,0,False
23,17,Fixed k=3,FR,3,mlp+graph+attention_v2,1,1,True
23,18,Fixed k=3,FR,3,mlp+attention_v2+graph,0,0,True
23,19,Fixed k=3,FC,3,graph+attention_v2+mlp,1,0,False
23,20,Fixed k=3,FR,3,graph+mlp+attention_v2,0,0,True
23,21,Fixed k=3,FR,3,graph+mlp+attention_v2,0,1,False
23,22,Fixed k=3,C,3,graph+attention_v2+mlp,1,1,True
23,23,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,24,Fixed k=3,C,3,mlp+graph+attention_v2,1,1,True
23,25,Fixed k=3,FRC,3,graph+mlp+attention_v2,1,1,True
23,26,Fixed k=3,FRC,3,graph+mlp+attention_v2,0,0,True
23,27,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,28,Fixed k=3,F,3,graph+attention+attention_v2,0,1,False
23,29,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,30,Fixed k=3,FC,3,graph+mlp+attention_v2,0,1,False
23,31,Fixed k=3,FRC,3,mlp+graph+attention_v2,0,0,True
23,32,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,33,Fixed k=3,R,3,mlp+graph+attention_v2,1,1,True
23,34,Fixed k=3,FC,3,mlp+graph+attention_v2,1,0,False
23,35,Fixed k=3,R,3,mlp+graph+attention_v2,1,0,False
23,36,Fixed k=3,F,3,mlp+attention+attention_v2,0,0,True
23,37,Fixed k=3,FR,3,graph+attention_v2+mlp,1,0,False
23,38,Fixed k=3,F,3,graph+attention+attention_v2,0,1,False
23,39,Fixed k=3,FR,3,graph+attention_v2+attention,0,0,True
37,0,k=1 Baseline (Phase 8B),C,1,attention,0,0,True
37,1,k=1 Baseline (Phase 8B),R,1,attention,0,0,True
37,2,k=1 Baseline (Phase 8B),C,1,attention,0,0,True
37,3,k=1 Baseline (Phase 8B),C,1,attention,0,0,True
37,4,k=1 Baseline (Phase 8B),F,1,attention,0,0,True
37,5,k=1 Baseline (Phase 8B),FRC,1,attention,0,0,True
37,6,k=1 Baseline (Phase 8B),FC,1,attention,1,1,True
37,7,k=1 Baseline (Phase 8B),FC,1,attention,1,0,False
37,8,k=1 Baseline (Phase 8B),F,1,attention,1,0,False
37,9,k=1 Baseline (Phase 8B),FR,1,attention,0,0,True
37,10,k=1 Baseline (Phase 8B),RC,1,attention,0,0,True
37,11,k=1 Baseline (Phase 8B),RC,1,attention,1,1,True
37,12,k=1 Baseline (Phase 8B),C,1,attention,0,1,False
37,13,k=1 Baseline (Phase 8B),FR,1,attention,1,0,False
37,14,k=1 Baseline (Phase 8B),F,1,attention,0,1,False
37,15,k=1 Baseline (Phase 8B),RC,1,attention,0,1,False
37,16,k=1 Baseline (Phase 8B),R,1,attention,0,0,True
37,17,k=1 Baseline (Phase 8B),R,1,attention,1,0,False
37,18,k=1 Baseline (Phase 8B),FRC,1,attention,0,0,True
37,19,k=1 Baseline (Phase 8B),FRC,1,attention,0,0,True
37,20,k=1 Baseline (Phase 8B),F,1,attention,0,0,True
37,21,k=1 Baseline (Phase 8B),FR,1,attention,1,1,True
37,22,k=1 Baseline (Phase 8B),F,1,attention,0,1,False
37,23,k=1 Baseline (Phase 8B),F,1,attention,0,0,True
37,24,k=1 Baseline (Phase 8B),C,1,attention_v2,0,0,True
37,25,k=1 Baseline (Phase 8B),FRC,1,attention_v2,1,1,True
37,26,k=1 Baseline (Phase 8B),FC,1,attention,1,0,False
37,27,k=1 Baseline (Phase 8B),R,1,attention,0,1,False
37,28,k=1 Baseline (Phase 8B),RC,1,attention,1,0,False
37,29,k=1 Baseline (Phase 8B),C,1,attention,0,0,True
37,30,k=1 Baseline (Phase 8B),RC,1,attention,1,0,False
37,31,k=1 Baseline (Phase 8B),F,1,attention,1,1,True
37,32,k=1 Baseline (Phase 8B),R,1,attention,0,0,True
37,33,k=1 Baseline (Phase 8B),C,1,attention,0,0,True
37,34,k=1 Baseline (Phase 8B),FR,1,attention,0,1,False
37,35,k=1 Baseline (Phase 8B),F,1,attention,1,0,False
37,36,k=1 Baseline (Phase 8B),F,1,attention,0,1,False
37,37,k=1 Baseline (Phase 8B),FRC,1,attention,0,0,True
37,38,k=1 Baseline (Phase 8B),FR,1,attention,0,1,False
37,39,k=1 Baseline (Phase 8B),C,1,attention,1,1,True
37,0,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,0,0,True
37,1,Fixed k=2 (Uniform C1),R,2,attention+attention_v2,0,1,False
37,2,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,0,0,True
37,3,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,0,0,True
37,4,Fixed k=2 (Uniform C1),F,2,attention+mlp,0,0,True
37,5,Fixed k=2 (Uniform C1),FRC,2,attention+attention_v2,0,1,False
37,6,Fixed k=2 (Uniform C1),FC,2,attention+attention_v2,1,1,True
37,7,Fixed k=2 (Uniform C1),FC,2,attention+attention_v2,1,1,True
37,8,Fixed k=2 (Uniform C1),F,2,attention+attention_v2,1,0,False
37,9,Fixed k=2 (Uniform C1),FR,2,attention+mlp,0,0,True
37,10,Fixed k=2 (Uniform C1),RC,2,attention+attention_v2,0,1,False
37,11,Fixed k=2 (Uniform C1),RC,2,attention+attention_v2,1,0,False
37,12,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,0,0,True
37,13,Fixed k=2 (Uniform C1),FR,2,attention+mlp,1,0,False
37,14,Fixed k=2 (Uniform C1),F,2,attention+attention_v2,0,1,False
37,15,Fixed k=2 (Uniform C1),RC,2,attention+attention_v2,0,0,True
37,16,Fixed k=2 (Uniform C1),R,2,attention+attention_v2,0,1,False
37,17,Fixed k=2 (Uniform C1),R,2,attention+attention_v2,1,0,False
37,18,Fixed k=2 (Uniform C1),FRC,2,attention+attention_v2,0,0,True
37,19,Fixed k=2 (Uniform C1),FRC,2,attention+attention_v2,0,0,True
37,20,Fixed k=2 (Uniform C1),F,2,attention+mlp,0,0,True
37,21,Fixed k=2 (Uniform C1),FR,2,attention+mlp,1,1,True
37,22,Fixed k=2 (Uniform C1),F,2,attention+attention_v2,0,1,False
37,23,Fixed k=2 (Uniform C1),F,2,attention+mlp,0,0,True
37,24,Fixed k=2 (Uniform C1),C,2,attention_v2+attention,0,0,True
37,25,Fixed k=2 (Uniform C1),FRC,2,attention_v2+attention,1,1,True
37,26,Fixed k=2 (Uniform C1),FC,2,attention+attention_v2,1,0,False
37,27,Fixed k=2 (Uniform C1),R,2,attention+attention_v2,0,0,True
37,28,Fixed k=2 (Uniform C1),RC,2,attention+attention_v2,1,1,True
37,29,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,0,0,True
37,30,Fixed k=2 (Uniform C1),RC,2,attention+attention_v2,1,1,True
37,31,Fixed k=2 (Uniform C1),F,2,attention+mlp,1,1,True
37,32,Fixed k=2 (Uniform C1),R,2,attention+attention_v2,0,1,False
37,33,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,0,0,True
37,34,Fixed k=2 (Uniform C1),FR,2,attention+attention_v2,0,1,False
37,35,Fixed k=2 (Uniform C1),F,2,attention+attention_v2,1,0,False
37,36,Fixed k=2 (Uniform C1),F,2,attention+attention_v2,0,1,False
37,37,Fixed k=2 (Uniform C1),FRC,2,attention+attention_v2,0,1,False
37,38,Fixed k=2 (Uniform C1),FR,2,attention+attention_v2,0,0,True
37,39,Fixed k=2 (Uniform C1),C,2,attention+attention_v2,1,1,True
37,0,Fixed k=3,C,3,attention+attention_v2+graph,0,0,True
37,1,Fixed k=3,R,3,attention+attention_v2+mlp,0,0,True
37,2,Fixed k=3,C,3,attention+attention_v2+graph,0,0,True
37,3,Fixed k=3,C,3,attention+attention_v2+graph,0,0,True
37,4,Fixed k=3,F,3,attention+mlp+graph,0,0,True
37,5,Fixed k=3,FRC,3,attention+attention_v2+graph,0,1,False
37,6,Fixed k=3,FC,3,attention+attention_v2+graph,1,1,True
37,7,Fixed k=3,FC,3,attention+attention_v2+graph,1,1,True
37,8,Fixed k=3,F,3,attention+attention_v2+mlp,1,0,False
37,9,Fixed k=3,FR,3,attention+mlp+attention_v2,0,1,False
37,10,Fixed k=3,RC,3,attention+attention_v2+graph,0,1,False
37,11,Fixed k=3,RC,3,attention+attention_v2+graph,1,0,False
37,12,Fixed k=3,C,3,attention+attention_v2+graph,0,0,True
37,13,Fixed k=3,FR,3,attention+mlp+attention_v2,1,1,True
37,14,Fixed k=3,F,3,attention+attention_v2+mlp,0,0,True
37,15,Fixed k=3,RC,3,attention+attention_v2+graph,0,0,True
37,16,Fixed k=3,R,3,attention+attention_v2+mlp,0,1,False
37,17,Fixed k=3,R,3,attention+attention_v2+mlp,1,0,False
37,18,Fixed k=3,FRC,3,attention+attention_v2+graph,0,0,True
37,19,Fixed k=3,FRC,3,attention+attention_v2+graph,0,0,True
37,20,Fixed k=3,F,3,attention+mlp+graph,0,0,True
37,21,Fixed k=3,FR,3,attention+mlp+attention_v2,1,1,True
37,22,Fixed k=3,F,3,attention+attention_v2+mlp,0,0,True
37,23,Fixed k=3,F,3,attention+mlp+graph,0,0,True
37,24,Fixed k=3,C,3,attention_v2+attention+graph,0,0,True
37,25,Fixed k=3,FRC,3,attention_v2+attention+graph,1,1,True
37,26,Fixed k=3,FC,3,attention+attention_v2+graph,1,0,False
37,27,Fixed k=3,R,3,attention+attention_v2+mlp,0,0,True
37,28,Fixed k=3,RC,3,attention+attention_v2+graph,1,1,True
37,29,Fixed k=3,C,3,attention+attention_v2+graph,0,0,True
37,30,Fixed k=3,RC,3,attention+attention_v2+graph,1,1,True
37,31,Fixed k=3,F,3,attention+mlp+graph,1,1,True
37,32,Fixed k=3,R,3,attention+attention_v2+mlp,0,1,False
37,33,Fixed k=3,C,3,attention+attention_v2+graph,0,0,True
37,34,Fixed k=3,FR,3,attention+attention_v2+mlp,0,1,False
37,35,Fixed k=3,F,3,attention+attention_v2+mlp,1,0,False
37,36,Fixed k=3,F,3,attention+attention_v2+mlp,0,0,True
37,37,Fixed k=3,FRC,3,attention+attention_v2+graph,0,1,False
37,38,Fixed k=3,FR,3,attention+attention_v2+mlp,0,0,True
37,39,Fixed k=3,C,3,attention+attention_v2+graph,1,1,True
